timestamp,balance
2025-06-24 18:41:39,1.53
2025-06-24 18:41:46,1.53
2025-06-24 18:41:52,1.53
2025-06-24 18:45:33,1.53
2025-06-24 18:49:57,1.53
2025-06-24 18:50:29,1.53
2025-06-24 18:59:34,1.53
2025-06-24 19:05:46,1.53
2025-06-24 19:17:50,1.53
2025-06-24 19:29:04,1.53
2025-06-24 19:34:32,1.53
2025-06-24 19:35:11,1.53
2025-06-24 19:35:47,1.53
2025-06-24 19:36:23,1.53
2025-06-24 19:36:58,1.53
2025-06-24 19:37:34,1.53
2025-06-24 19:38:09,1.53
2025-06-24 19:38:48,1.53
2025-06-24 19:39:25,1.53
2025-06-24 19:40:05,1.53
2025-06-24 19:40:41,1.53
2025-06-24 19:41:16,1.53
2025-06-24 19:41:52,1.53
2025-06-24 19:42:28,1.53
2025-06-24 19:43:03,1.53
2025-06-24 19:43:39,1.53
2025-06-24 19:44:14,1.53
2025-06-24 19:44:49,1.53
2025-06-24 19:45:27,1.53
2025-06-24 19:45:55,1.53
2025-06-24 19:58:36,1.53
2025-06-24 20:16:26,1.53
2025-06-24 20:16:34,1.53
2025-06-24 20:16:42,1.53
2025-06-24 20:16:49,1.53
2025-06-24 20:16:57,1.53
2025-06-24 20:17:04,1.53
2025-06-24 20:17:11,1.53
2025-06-24 20:17:19,1.53
2025-06-24 20:17:26,1.53
2025-06-24 20:17:34,1.53
2025-06-24 20:17:41,1.53
2025-06-24 20:17:48,1.53
2025-06-24 20:21:47,1.53
2025-06-24 20:23:50,1.53
2025-06-24 20:25:51,1.53
2025-06-24 20:27:37,1.53
2025-06-24 20:29:37,1.53
2025-06-24 20:32:01,1.53
