2025-07-03T20:14:21.306523+00:00,SUIUSDT,open,166.063,3.0109,BUY | 0.77% | 3.0/3.0
2025-07-03T20:14:24.248381+00:00,APTUSDT,open,105.097,4.75752962,BUY | 0.77% | 4.8/4.7
2025-07-03T20:14:29.084605+00:00,ICNTUSDT,sell,1575.603,0.31733886,short | 0.76% | 0.3/0.3
2025-07-03T20:14:31.996549+00:00,ENSUSDT,open,25.705,19.45170135,BUY | 0.77% | 19.5/19.4
2025-07-03T20:14:35.362360+00:00,INJUSDT,buy,43.011,11.62503036,buy | 0.75% | 11.5/11.7
2025-07-03T20:14:38.285188+00:00,WLDUSDT,open,527.709,0.94749106,BUY | 0.77% | 1.0/0.9
2025-07-03T20:14:49.371381+00:00,LQTYUSDT,open,405.768,1.23223155,BUY | 0.77% | 1.2/1.2
2025-07-03T20:14:52.415627+00:00,NEARUSDT,open,219.096,2.28210125,BUY | 0.77% | 2.3/2.3
2025-07-03T20:30:54.415321+00:00,AVAXUSDT,open,26.81,18.64994509,BUY | 0.77% | 18.7/18.6
2025-07-03T20:31:03.427393+00:00,SPXUSDT,open,386.479,1.29373265,BUY | 0.77% | 1.3/1.3
2025-07-03T20:31:08.630593+00:00,VIRTUALUSDT,open,302.809,1.65120473,BUY | 0.77% | 1.7/1.6
2025-07-03T20:31:14.115606+00:00,DOTUSDT,open,140.621,3.55565717,BUY | 0.77% | 3.6/3.5
2025-07-03T20:45:52.695738+00:00,UNIUSDT,buy,65.658,7.61517387,buy | 0.75% | 7.6/7.6
2025-07-03T20:51:37.216244+00:00,WIFUSDT,open,543.781,0.91948838,BUY | 0.77% | 0.9/0.9
2025-07-03T20:51:45.241216+00:00,PROMUSDT,open,69.099,7.236,SELL | 0.87% | 7.1/7.3
2025-07-03T20:58:38.361039+00:00,ICPUSDT,open,100.685,4.966,SELL | 0.77% | 4.9/5.0
2025-07-03T21:04:20.786308+00:00,LINKUSDT,open,36.275,13.78355309,BUY | 0.77% | 13.8/13.8
2025-07-03T21:04:37.627182+00:00,ORDIUSDT,buy,62.244,8.0328497,buy | 0.75% | 8.0/8.1
2025-07-03T22:01:11.817049+00:00,TIAUSDT,open,307.0,1.6312,BUY | 0.77% | 1.6/1.6
2025-07-03T22:07:34.991501+00:00,GRASSUSDT,open,442.8,1.1291,BUY | 0.77% | 1.1/1.1
2025-07-03T22:07:44.949617+00:00,RENDERUSDT,open,149.8,3.337,BUY | 0.77% | 3.4/3.3
2025-07-03T22:19:02.300047+00:00,PROMUSDT,close,69.1,7.138,PnL +$5 hit
2025-07-03T22:24:45.832187+00:00,XRPUSDT,open,220.8,2.2647,SELL | 0.77% | 2.3/2.3
2025-07-03T22:53:37.736545+00:00,PROMUSDT,open,70.5,7.09714405,SELL | 0.77% | 7.0/7.1
2025-07-03T23:27:16.291235+00:00,PROMUSDT,close,70.5,7.13664048,SL Hit
2025-07-03T23:43:28.671558+00:00,TRUMPUSDT,open,56.17,8.901,SELL | 0.77% | 8.9/8.9
2025-07-03T23:43:41.576860+00:00,ICPUSDT,close,101.0,4.996,SL Hit
2025-07-03T23:59:55.725906+00:00,TRUMPUSDT,close,56.17,8.92070715,SL Hit
2025-07-04T00:22:22.709776+00:00,TRUMPUSDT,open,56.36,8.871,SELL | 0.77% | 8.8/8.9
2025-07-04T01:01:33.695821+00:00,LPTUSDT,open,80.1,6.246,SELL | 0.77% | 6.2/6.3
2025-07-04T01:07:06.850340+00:00,TRUMPUSDT,close,56.36,8.8913781,SL Hit
2025-07-04T02:11:59.197460+00:00,TRUMPUSDT,open,56.4,8.86454019,SELL | 0.82% | 8.8/8.9
2025-07-04T02:45:50.146036+00:00,XRPUSDT,close,220.8,2.24131281,PnL +$5 hit
2025-07-04T03:07:39.984621+00:00,PROMUSDT,buy,68.4,7.306,buy | 0.75% | 7.2/7.4
2025-07-04T03:46:30.888712+00:00,TRUMPUSDT,close,56.4,8.86371198,SL Hit
2025-07-04T04:47:20.502336+00:00,LPTUSDT,close,80.1,6.16591982,PnL +$5 hit
2025-07-04T04:58:47.647686+00:00,JTOUSDT,open,240.0,2.0794,SELL | 0.77% | 2.1/2.1
2025-07-04T04:58:53.269408+00:00,SSVUSDT,open,66.38,7.53213634,SELL | 0.77% | 7.5/7.6
2025-07-04T05:10:14.191184+00:00,SSVUSDT,close,66.38,7.57401255,SL Hit
2025-07-04T06:12:24.406850+00:00,TRUMPUSDT,open,56.97,8.777,SELL | 0.77% | 8.7/8.8
2025-07-04T06:12:27.557407+00:00,SSVUSDT,open,66.95,7.468,SELL | 0.77% | 7.4/7.5
2025-07-04T07:03:49.918285+00:00,TRUMPUSDT,close,56.97,8.77573055,SL Hit
2025-07-04T07:10:42.979202+00:00,TRUMPUSDT,open,57.42,8.708,SELL | 0.77% | 8.6/8.7
2025-07-04T07:28:49.285673+00:00,SSVUSDT,close,66.95,7.30763,PnL +$5 hit
2025-07-04T08:04:45.942352+00:00,KSMUSDT,open,39.5,12.653,SELL | 0.87% | 12.5/12.7
2025-07-04T08:04:50.004162+00:00,LPTUSDT,open,83.0,6.022,SELL | 0.77% | 6.0/6.0
