time,symbol,action,side,price,qty,agent,pnl,note
2025-10-06T12:20:00+00:00,BNBUSDT,OPEN,BUY,1235.89000000,0.962513,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T12:25:00+00:00,BNBUSDT,OPEN,BUY,1235.80000000,0.962583,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T12:30:00+00:00,BNBUSDT,CLOSE,BUY,1237.38000000,0.962583,apex_supertrend_adaptive,1.52,QuickTP
2025-10-06T12:30:00+00:00,BNBUSDT,OPEN,BUY,1237.38000000,0.961354,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T12:35:00+00:00,BNBUSDT,OPEN,BUY,1235.44000000,0.962863,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T12:40:00+00:00,BNBUSDT,OPEN,BUY,1234.10000000,0.963909,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T12:45:00+00:00,BNBUSDT,CLOSE,BUY,1238.71000000,0.963909,apex_supertrend_adaptive,4.44,QuickTP
2025-10-06T12:45:00+00:00,BNBUSDT,OPEN,BUY,1238.71000000,0.960322,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T12:50:00+00:00,BNBUSDT,OPEN,BUY,1237.40000000,0.961338,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T12:55:00+00:00,BNBUSDT,OPEN,BUY,1236.73000000,0.961859,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T13:00:00+00:00,BNBUSDT,OPEN,BUY,1235.30000000,0.962973,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T13:05:00+00:00,BNBUSDT,CLOSE,BUY,1232.18000000,0.962973,apex_supertrend_adaptive,-3.00,HardUSDStop
2025-10-06T17:25:00+00:00,SOLUSDT,OPEN,BUY,237.09000000,5.017335,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T17:30:00+00:00,SOLUSDT,CLOSE,BUY,236.12000000,5.017335,apex_supertrend_adaptive,-4.87,HardUSDStop
2025-10-06T17:35:00+00:00,SOLUSDT,OPEN,BUY,236.32000000,5.033683,apex_supertrend_adaptive,0.00,conf=1.621
2025-10-06T17:50:00+00:00,SOLUSDT,CLOSE,BUY,236.75000000,5.033683,apex_supertrend_adaptive,2.16,QuickTP
2025-10-06T17:50:00+00:00,SOLUSDT,OPEN,BUY,236.75000000,5.024541,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T17:55:00+00:00,SOLUSDT,CLOSE,BUY,236.31000000,5.024541,apex_supertrend_adaptive,-2.21,HardUSDStop
2025-10-06T17:55:00+00:00,SOLUSDT,OPEN,BUY,236.31000000,5.033896,apex_supertrend_adaptive,0.00,conf=1.668
2025-10-06T18:05:00+00:00,SOLUSDT,CLOSE,BUY,236.72000000,5.033896,apex_supertrend_adaptive,2.06,QuickTP
2025-10-06T18:05:00+00:00,SOLUSDT,OPEN,BUY,236.72000000,5.025177,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T18:10:00+00:00,SOLUSDT,CLOSE,BUY,236.19000000,5.025177,apex_supertrend_adaptive,-2.66,HardUSDStop
2025-10-06T18:55:00+00:00,SOLUSDT,OPEN,BUY,236.68000000,5.026027,apex_supertrend_adaptive,0.00,conf=1.620
2025-10-06T19:00:00+00:00,SOLUSDT,CLOSE,BUY,236.19000000,5.026027,apex_supertrend_adaptive,-2.46,HardUSDStop
