time,symbol,action,side,price,qty,agent,pnl,note
2025-10-01T14:05:00+00:00,XRPUSDT,OPEN,BUY,2.94269357,145.296134,apex_microburst,0.00,conf=0.908
2025-10-01T14:35:00+00:00,XRPUSDT,CLOSE,BUY,2.95550000,145.296134,apex_microburst,1.86,QuickTP
2025-10-02T14:00:00+00:00,XRPUSDT,OPEN,BUY,2.98881643,143.053951,apex_microburst,0.00,conf=0.937
2025-10-02T14:10:00+00:00,XRPUSDT,CLOSE,BUY,2.96960000,143.053951,apex_microburst,-2.75,HardUSDStop
2025-10-03T16:00:00+00:00,XRPUSDT,OPEN,BUY,3.07297643,139.136114,apex_microburst,0.00,conf=0.937
2025-10-03T16:00:00+00:00,XRPUSDT,CLOSE,BUY,3.08310000,139.136114,apex_microburst,1.41,QuickTP
2025-10-05T02:45:00+00:00,ETHUSDT,OPEN,BUY,4526.82250000,0.094451,apex_microburst,0.00,conf=0.878
2025-10-05T02:55:00+00:00,ETHUSDT,CLOSE,BUY,4547.51000000,0.094451,apex_microburst,1.95,QuickTP
2025-10-06T01:20:00+00:00,BNBUSDT,OPEN,BUY,1175.45957143,0.363740,apex_microburst,0.00,conf=0.937
2025-10-06T01:20:00+00:00,BNBUSDT,CLOSE,BUY,1179.30000000,0.363740,apex_microburst,1.40,QuickTP
2025-10-06T08:35:00+00:00,ETHUSDT,OPEN,BUY,4565.07821429,0.093659,apex_microburst,0.00,conf=0.937
2025-10-06T09:20:00+00:00,ETHUSDT,CLOSE,BUY,4563.43952857,0.093659,apex_microburst,-0.15,SL
2025-10-06T13:15:00+00:00,BNBUSDT,OPEN,BUY,1228.80000000,0.347951,apex_supertrend_adaptive,0.00,conf=1.079
2025-10-06T13:25:00+00:00,BNBUSDT,CLOSE,BUY,1231.76000000,0.347951,apex_supertrend_adaptive,1.03,QuickTP
2025-10-06T13:30:00+00:00,BNBUSDT,OPEN,BUY,1228.79000000,0.347954,apex_supertrend_adaptive,0.00,conf=1.079
2025-10-06T14:00:00+00:00,BNBUSDT,CLOSE,BUY,1224.39280000,0.347954,apex_supertrend_adaptive,-1.53,SL
2025-10-06T15:05:00+00:00,XRPUSDT,OPEN,BUY,2.99686929,142.669553,apex_microburst,0.00,conf=0.937
2025-10-06T15:10:00+00:00,XRPUSDT,CLOSE,BUY,3.00410000,142.669553,apex_microburst,1.03,QuickTP
2025-10-06T15:50:00+00:00,BNBUSDT,OPEN,BUY,1225.81728571,0.348797,apex_microburst,0.00,conf=0.937
2025-10-06T16:00:00+00:00,BNBUSDT,CLOSE,BUY,1220.15930286,0.348797,apex_microburst,-1.97,SL
2025-10-06T19:10:00+00:00,SOLUSDT,OPEN,BUY,236.00000000,1.811703,apex_supertrend_adaptive,0.00,conf=1.085
2025-10-06T19:35:00+00:00,SOLUSDT,CLOSE,BUY,235.09110000,1.811703,apex_supertrend_adaptive,-1.65,SL
2025-10-06T19:45:00+00:00,BNBUSDT,OPEN,BUY,1227.68000000,0.348268,apex_supertrend_adaptive,0.00,conf=1.032
2025-10-06T20:00:00+00:00,BNBUSDT,CLOSE,BUY,1221.40000000,0.348268,apex_supertrend_adaptive,-2.19,HardUSDStop
2025-10-06T20:30:00+00:00,ETHUSDT,OPEN,BUY,4707.86000000,0.090819,apex_supertrend_adaptive,0.00,conf=1.120
2025-10-06T20:30:00+00:00,DOGEUSDT,OPEN,BUY,0.26859000,1591.876094,apex_supertrend_adaptive,0.00,conf=1.127
2025-10-06T20:35:00+00:00,DOGEUSDT,CLOSE,BUY,0.26768920,1591.876094,apex_supertrend_adaptive,-1.43,SL
2025-10-06T20:40:00+00:00,ETHUSDT,CLOSE,BUY,4692.41830000,0.090819,apex_supertrend_adaptive,-1.40,SL
2025-10-06T21:00:00+00:00,DOGEUSDT,OPEN,BUY,0.26821000,1594.131464,apex_supertrend_adaptive,0.00,conf=1.127
