time,symbol,action,side,price,qty,agent,pnl,note
2025-10-01T14:05:00+00:00,XRPUSDT,OPEN,BUY,2.94382786,85.961208,apex_microburst,0.00,conf=1.024
2025-10-01T14:00:00+00:00,XRPUSDT,CLOSE,BUY,2.93160263,85.961208,apex_microburst,-1.05,SL
2025-10-02T14:00:00+00:00,XRPUSDT,OPEN,BUY,2.98881643,84.667294,apex_microburst,0.00,conf=1.024
2025-10-02T14:05:00+00:00,XRPUSDT,OPEN,BUY,2.99088143,84.608837,apex_microburst,0.00,conf=1.020
2025-10-02T14:05:00+00:00,XRPUSDT,CLOSE,BUY,2.97787691,84.608837,apex_microburst,-1.10,SL
2025-10-03T16:00:00+00:00,XRPUSDT,OPEN,BUY,3.07297643,82.348500,apex_microburst,0.00,conf=1.024
2025-10-03T16:00:00+00:00,XRPUSDT,CLOSE,BUY,3.08310000,82.348500,apex_microburst,0.83,QuickTP
2025-10-06T01:20:00+00:00,BNBUSDT,OPEN,BUY,1175.45957143,0.215282,apex_microburst,0.00,conf=1.024
2025-10-06T01:20:00+00:00,BNBUSDT,CLOSE,BUY,1179.30000000,0.215282,apex_microburst,0.83,QuickTP
2025-10-06T05:30:00+00:00,ETHUSDT,OPEN,BUY,4521.97750000,0.055961,apex_microburst,0.00,conf=1.024
2025-10-06T06:00:00+00:00,ETHUSDT,CLOSE,BUY,4537.35000000,0.055961,apex_microburst,0.86,QuickTP
2025-10-06T08:35:00+00:00,ETHUSDT,OPEN,BUY,4565.07821429,0.055433,apex_microburst,0.00,conf=1.024
2025-10-06T09:20:00+00:00,ETHUSDT,CLOSE,BUY,4563.43952857,0.055433,apex_microburst,-0.09,SL
2025-10-06T13:15:00+00:00,BNBUSDT,OPEN,BUY,1228.80000000,0.205937,apex_supertrend_adaptive,0.00,conf=1.209
2025-10-06T13:20:00+00:00,BNBUSDT,OPEN,BUY,1229.60000000,0.205803,apex_supertrend_adaptive,0.00,conf=1.168
2025-10-06T13:25:00+00:00,BNBUSDT,CLOSE,BUY,1231.76000000,0.205803,apex_supertrend_adaptive,0.44,QuickTP
2025-10-06T13:25:00+00:00,BNBUSDT,OPEN,BUY,1231.76000000,0.205442,apex_supertrend_adaptive,0.00,conf=1.073
2025-10-06T13:30:00+00:00,BNBUSDT,CLOSE,BUY,1226.63670000,0.205442,apex_supertrend_adaptive,-1.05,SL
