timestamp,open,high,low,close,volume
2025-08-19 23:10:00+00:00,832.73,832.98,832.0,832.55,823.31
2025-08-19 23:15:00+00:00,832.54,832.76,831.16,831.4,1477.7
2025-08-19 23:20:00+00:00,831.41,833.09,830.18,830.59,2203.54
2025-08-19 23:25:00+00:00,830.6,831.54,829.76,830.18,2827.11
2025-08-19 23:30:00+00:00,830.18,830.71,828.37,829.75,6190.17
2025-08-19 23:35:00+00:00,829.75,830.02,826.32,826.33,3401.72
2025-08-19 23:40:00+00:00,826.32,826.77,825.24,826.76,3850.31
2025-08-19 23:45:00+00:00,826.76,826.87,823.54,824.1,6235.02
2025-08-19 23:50:00+00:00,824.1,824.98,823.25,824.24,3583.22
2025-08-19 23:55:00+00:00,824.24,824.88,823.35,824.44,2508.98
2025-08-20 00:00:00+00:00,824.45,827.8,824.0,827.5,6413.28
2025-08-20 00:05:00+00:00,827.5,829.24,827.37,828.74,3292.25
2025-08-20 00:10:00+00:00,828.73,829.28,827.45,827.9,3274.68
2025-08-20 00:15:00+00:00,827.89,829.96,827.77,828.21,2191.35
2025-08-20 00:20:00+00:00,828.21,828.85,824.65,825.0,9709.37
2025-08-20 00:25:00+00:00,825.03,825.28,823.97,824.64,6817.85
2025-08-20 00:30:00+00:00,824.65,825.88,823.98,823.99,7845.92
2025-08-20 00:35:00+00:00,823.99,827.18,823.99,827.18,4115.31
2025-08-20 00:40:00+00:00,827.17,828.19,826.88,827.94,1920.89
2025-08-20 00:45:00+00:00,827.94,828.31,826.62,827.0,2222.86
2025-08-20 00:50:00+00:00,827.0,827.61,826.4,826.9,930.02
2025-08-20 00:55:00+00:00,826.9,827.27,825.5,825.6,1756.36
2025-08-20 01:00:00+00:00,825.59,827.92,825.46,827.55,2003.13
2025-08-20 01:05:00+00:00,827.56,828.28,825.44,825.63,1600.96
2025-08-20 01:10:00+00:00,825.63,825.63,823.53,824.58,4125.67
2025-08-20 01:15:00+00:00,824.58,824.85,823.18,824.7,2184.17
2025-08-20 01:20:00+00:00,824.7,827.27,824.65,825.04,2088.18
2025-08-20 01:25:00+00:00,825.04,825.39,823.66,824.19,2722.29
2025-08-20 01:30:00+00:00,824.2,824.64,819.61,821.39,15413.15
2025-08-20 01:35:00+00:00,821.4,822.12,818.54,819.6,12821.39
2025-08-20 01:40:00+00:00,819.6,820.15,819.2,819.72,2052.88
2025-08-20 01:45:00+00:00,819.72,824.06,819.72,823.64,7030.56
2025-08-20 01:50:00+00:00,823.64,826.4,823.52,825.91,5437.89
2025-08-20 01:55:00+00:00,825.9,830.97,825.59,828.54,13399.16
2025-08-20 02:00:00+00:00,828.54,828.82,826.75,827.07,3481.59
2025-08-20 02:05:00+00:00,827.08,829.61,827.08,828.47,2141.8
2025-08-20 02:10:00+00:00,828.47,830.2,828.16,830.1,3513.73
2025-08-20 02:15:00+00:00,830.1,830.7,829.44,830.24,2076.2
2025-08-20 02:20:00+00:00,830.25,830.97,829.85,830.88,1839.41
2025-08-20 02:25:00+00:00,830.88,831.36,829.81,830.48,1852.14
2025-08-20 02:30:00+00:00,830.48,830.61,829.43,829.55,1510.21
2025-08-20 02:35:00+00:00,829.55,830.43,829.14,829.28,1109.1
2025-08-20 02:40:00+00:00,829.28,830.45,829.01,830.25,643.85
2025-08-20 02:45:00+00:00,830.25,830.75,829.77,830.31,1035.54
2025-08-20 02:50:00+00:00,830.31,831.19,830.16,830.75,703.62
2025-08-20 02:55:00+00:00,830.76,831.33,830.35,830.6,2104.77
2025-08-20 03:00:00+00:00,830.6,831.62,830.36,831.59,1293.11
2025-08-20 03:05:00+00:00,831.59,831.59,830.16,831.3,776.85
2025-08-20 03:10:00+00:00,831.29,831.31,830.01,830.08,816.95
2025-08-20 03:15:00+00:00,830.09,831.6,829.38,831.56,1102.15
2025-08-20 03:20:00+00:00,831.55,833.45,831.5,833.35,3087.13
2025-08-20 03:25:00+00:00,833.35,834.97,833.16,834.97,2777.87
2025-08-20 03:30:00+00:00,834.97,837.59,834.78,837.15,8140.83
2025-08-20 03:35:00+00:00,837.15,837.36,835.5,836.14,3733.16
2025-08-20 03:40:00+00:00,836.14,837.0,835.3,835.81,3036.48
2025-08-20 03:45:00+00:00,835.8,836.6,835.45,836.6,2707.74
