timestamp,open,high,low,close,volume
2025-09-27 21:50:00+00:00,1.6648,1.665,1.6461,1.647,7079695.0
2025-09-27 21:55:00+00:00,1.6471,1.6498,1.6312,1.6316,5660603.0
2025-09-27 22:00:00+00:00,1.6316,1.6399,1.6202,1.6205,7201156.0
2025-09-27 22:05:00+00:00,1.6205,1.6414,1.616,1.6267,6772567.0
2025-09-27 22:10:00+00:00,1.6267,1.6341,1.6041,1.6145,6644749.0
2025-09-27 22:15:00+00:00,1.6145,1.6316,1.6138,1.6235,4268362.0
2025-09-27 22:20:00+00:00,1.6235,1.6318,1.5961,1.5999,8416223.0
2025-09-27 22:25:00+00:00,1.5995,1.6101,1.593,1.6021,5363197.0
2025-09-27 22:30:00+00:00,1.6021,1.6219,1.5985,1.608,4180699.0
2025-09-27 22:35:00+00:00,1.6081,1.6268,1.6038,1.6079,4234866.0
2025-09-27 22:40:00+00:00,1.608,1.608,1.5732,1.5744,11168747.0
2025-09-27 22:45:00+00:00,1.5743,1.597,1.5717,1.5878,6433701.0
2025-09-27 22:50:00+00:00,1.5878,1.5891,1.5743,1.5823,3908416.0
2025-09-27 22:55:00+00:00,1.5823,1.5911,1.5772,1.5826,4074214.0
2025-09-27 23:00:00+00:00,1.5825,1.5854,1.5666,1.5723,6675379.0
2025-09-27 23:05:00+00:00,1.5725,1.5786,1.5642,1.573,7195100.0
2025-09-27 23:10:00+00:00,1.573,1.584,1.5698,1.5766,3488339.0
2025-09-27 23:15:00+00:00,1.5764,1.5798,1.5675,1.5706,2852489.0
2025-09-27 23:20:00+00:00,1.5707,1.5778,1.5668,1.5722,2285954.0
2025-09-27 23:25:00+00:00,1.5721,1.5741,1.5655,1.569,2763769.0
2025-09-27 23:30:00+00:00,1.569,1.5862,1.5684,1.5832,4718230.0
2025-09-27 23:35:00+00:00,1.5832,1.6044,1.5806,1.5992,6761770.0
2025-09-27 23:40:00+00:00,1.5992,1.614,1.5916,1.6112,5301257.0
