timestamp,open,high,low,close,volume
2025-07-29 23:10:00+00:00,181.64,181.68,181.39,181.4,27917.69
2025-07-29 23:15:00+00:00,181.39,181.6,181.08,181.42,31908.71
2025-07-29 23:20:00+00:00,181.43,181.6,181.38,181.4,17665.39
2025-07-29 23:25:00+00:00,181.4,181.5,181.25,181.47,15467.87
2025-07-29 23:30:00+00:00,181.47,181.75,181.35,181.47,34758.04
2025-07-29 23:35:00+00:00,181.47,181.9,181.44,181.71,21155.75
2025-07-29 23:40:00+00:00,181.71,181.75,181.03,181.05,35762.52
2025-07-29 23:45:00+00:00,181.05,181.18,180.82,181.15,33641.13
2025-07-29 23:50:00+00:00,181.15,181.24,180.98,181.23,18053.24
2025-07-29 23:55:00+00:00,181.24,181.42,181.21,181.39,20762.39
2025-07-30 00:00:00+00:00,181.38,181.5,180.9,180.99,56782.11
2025-07-30 00:05:00+00:00,180.99,181.0,180.64,180.73,39739.46
2025-07-30 00:10:00+00:00,180.73,181.24,180.6,181.11,35880.72
2025-07-30 00:15:00+00:00,181.12,181.31,180.72,180.72,26673.09
2025-07-30 00:20:00+00:00,180.73,180.83,180.2,180.34,57073.0
2025-07-30 00:25:00+00:00,180.33,180.61,180.29,180.48,31652.32
2025-07-30 00:30:00+00:00,180.47,180.69,179.97,179.98,66160.66
2025-07-30 00:35:00+00:00,179.99,180.19,179.61,179.78,82705.0
2025-07-30 00:40:00+00:00,179.78,179.9,179.5,179.75,52626.26
2025-07-30 00:45:00+00:00,179.75,179.86,179.2,179.21,49292.45
2025-07-30 00:50:00+00:00,179.21,179.99,179.2,179.87,57089.32
2025-07-30 00:55:00+00:00,179.88,180.2,179.88,180.13,51136.85
2025-07-30 01:00:00+00:00,180.13,180.29,179.96,180.23,35987.54
2025-07-30 01:05:00+00:00,180.23,180.25,179.94,180.01,24626.25
2025-07-30 01:10:00+00:00,180.01,180.13,179.64,180.0,28898.2
2025-07-30 01:15:00+00:00,179.99,180.04,178.71,178.96,129343.43
2025-07-30 01:20:00+00:00,178.96,179.52,178.81,179.26,68287.67
2025-07-30 01:25:00+00:00,179.26,179.36,178.86,179.24,40355.75
2025-07-30 01:30:00+00:00,179.25,180.02,179.04,179.92,72860.87
2025-07-30 01:35:00+00:00,179.93,181.26,179.92,180.9,148560.07
2025-07-30 01:40:00+00:00,180.91,181.24,180.88,181.09,69564.72
2025-07-30 01:45:00+00:00,181.09,181.86,181.0,181.67,168253.77
2025-07-30 01:50:00+00:00,181.67,181.78,181.38,181.58,54219.82
2025-07-30 01:55:00+00:00,181.58,181.63,181.22,181.29,50988.95
2025-07-30 02:00:00+00:00,181.29,181.65,181.01,181.07,59968.06
2025-07-30 02:05:00+00:00,181.07,181.54,181.07,181.49,58315.48
2025-07-30 02:10:00+00:00,181.49,182.29,181.34,182.22,99647.99
2025-07-30 02:15:00+00:00,182.22,182.27,181.58,181.6,75401.42
2025-07-30 02:20:00+00:00,181.61,182.01,181.54,181.75,33110.73
2025-07-30 02:25:00+00:00,181.75,181.83,181.4,181.52,34168.87
2025-07-30 02:30:00+00:00,181.51,181.82,181.2,181.77,45188.42
