timestamp,open,high,low,close,volume
2025-09-09 00:00:00+00:00,0.24156,0.24397,0.23723,0.23857,741871682.0
2025-09-09 01:00:00+00:00,0.23858,0.23934,0.23625,0.23727,341018322.0
2025-09-09 02:00:00+00:00,0.23726,0.23751,0.23351,0.23451,551312457.0
2025-09-09 03:00:00+00:00,0.23451,0.23674,0.23419,0.23636,292526040.0
2025-09-09 04:00:00+00:00,0.23636,0.23744,0.23504,0.2365,317338426.0
2025-09-09 05:00:00+00:00,0.2365,0.23745,0.23546,0.23732,225272528.0
2025-09-09 06:00:00+00:00,0.23733,0.24204,0.237,0.24098,605260849.0
2025-09-09 07:00:00+00:00,0.24098,0.24195,0.23939,0.24018,390244601.0
2025-09-09 08:00:00+00:00,0.24018,0.2415,0.23971,0.2415,232219794.0
2025-09-09 09:00:00+00:00,0.2415,0.24154,0.23981,0.24072,178026005.0
2025-09-09 10:00:00+00:00,0.24072,0.24256,0.24039,0.24082,382795775.0
2025-09-09 11:00:00+00:00,0.24081,0.24219,0.24049,0.24151,191185728.0
2025-09-09 12:00:00+00:00,0.24152,0.24948,0.2409,0.24568,1522985917.0
2025-09-09 13:00:00+00:00,0.24568,0.24853,0.24433,0.24686,620499125.0
2025-09-09 14:00:00+00:00,0.24685,0.24784,0.23743,0.24034,1551295799.0
2025-09-09 15:00:00+00:00,0.24034,0.24081,0.2367,0.23817,607455267.0
2025-09-09 16:00:00+00:00,0.23818,0.24001,0.23729,0.2398,349568022.0
2025-09-09 17:00:00+00:00,0.2398,0.24187,0.23786,0.23984,512829831.0
2025-09-09 18:00:00+00:00,0.23985,0.24096,0.2388,0.2404,190011919.0
2025-09-09 19:00:00+00:00,0.24041,0.24334,0.24018,0.24108,317323923.0
2025-09-09 20:00:00+00:00,0.24109,0.24185,0.24002,0.24151,209589491.0
2025-09-09 21:00:00+00:00,0.24151,0.24262,0.24005,0.2402,174321062.0
2025-09-09 22:00:00+00:00,0.2402,0.24137,0.2393,0.24127,134158334.0
2025-09-09 23:00:00+00:00,0.24128,0.242,0.24001,0.24051,145602074.0
2025-09-10 00:00:00+00:00,0.24052,0.2408,0.23667,0.23721,429394131.0
2025-09-10 01:00:00+00:00,0.23721,0.23952,0.23607,0.23868,200036333.0
2025-09-10 02:00:00+00:00,0.23867,0.24199,0.23863,0.24069,244946255.0
2025-09-10 03:00:00+00:00,0.24069,0.24139,0.23973,0.241,128264566.0
2025-09-10 04:00:00+00:00,0.24099,0.24099,0.23939,0.24028,125881740.0
2025-09-10 05:00:00+00:00,0.24028,0.2404,0.2383,0.23942,170712444.0
2025-09-10 06:00:00+00:00,0.23942,0.24075,0.23832,0.23987,167293389.0
2025-09-10 07:00:00+00:00,0.23988,0.24235,0.23962,0.24125,250747181.0
2025-09-10 08:00:00+00:00,0.24126,0.24238,0.24026,0.24052,212951104.0
2025-09-10 09:00:00+00:00,0.24053,0.2418,0.23925,0.24161,198877186.0
2025-09-10 10:00:00+00:00,0.24161,0.24171,0.2398,0.24013,151169208.0
2025-09-10 11:00:00+00:00,0.24014,0.24105,0.23945,0.24008,163572330.0
2025-09-10 12:00:00+00:00,0.24008,0.24533,0.23989,0.2424,706709795.0
2025-09-10 13:00:00+00:00,0.2424,0.2457,0.24171,0.24442,612618209.0
2025-09-10 14:00:00+00:00,0.24443,0.24512,0.24284,0.24342,387362428.0
2025-09-10 15:00:00+00:00,0.24341,0.24527,0.24341,0.24359,253523774.0
2025-09-10 16:00:00+00:00,0.2436,0.2485,0.24229,0.24789,601388980.0
2025-09-10 17:00:00+00:00,0.24789,0.24862,0.2441,0.24531,500813587.0
2025-09-10 18:00:00+00:00,0.2453,0.24582,0.24282,0.24441,230520076.0
2025-09-10 19:00:00+00:00,0.24442,0.24458,0.23832,0.23974,474891704.0
2025-09-10 20:00:00+00:00,0.23975,0.24185,0.23961,0.24148,137493788.0
2025-09-10 21:00:00+00:00,0.24148,0.24428,0.24121,0.24366,251370470.0
2025-09-10 22:00:00+00:00,0.24365,0.24486,0.24345,0.2445,143737409.0
2025-09-10 23:00:00+00:00,0.24451,0.24572,0.24414,0.24525,141950993.0
2025-09-11 00:00:00+00:00,0.24524,0.24625,0.24366,0.24569,208659901.0
2025-09-11 01:00:00+00:00,0.24569,0.24725,0.24522,0.24562,187808102.0
2025-09-11 02:00:00+00:00,0.24562,0.24683,0.24535,0.24621,124717667.0
2025-09-11 03:00:00+00:00,0.24621,0.25341,0.2462,0.25221,812131826.0
2025-09-11 04:00:00+00:00,0.25221,0.25319,0.25126,0.25244,303247886.0
2025-09-11 05:00:00+00:00,0.25244,0.25274,0.24921,0.24994,368831106.0
2025-09-11 06:00:00+00:00,0.24994,0.25145,0.2494,0.25037,197975896.0
2025-09-11 07:00:00+00:00,0.25038,0.25042,0.24812,0.24959,333939913.0
2025-09-11 08:00:00+00:00,0.24958,0.24998,0.24866,0.24977,150230306.0
2025-09-11 09:00:00+00:00,0.24977,0.24997,0.24868,0.24959,148858304.0
2025-09-11 10:00:00+00:00,0.2496,0.25136,0.2493,0.25085,193863009.0
2025-09-11 11:00:00+00:00,0.25086,0.2517,0.24993,0.25075,204981896.0
2025-09-11 12:00:00+00:00,0.25075,0.25472,0.24168,0.24787,1463465794.0
