timestamp,open,high,low,close,volume
2025-09-16 23:00:00+00:00,957.79,958.65,956.64,956.9,3257.74
2025-09-16 23:05:00+00:00,956.9,957.05,956.44,957.0,1700.7
2025-09-16 23:10:00+00:00,957.0,957.35,956.36,956.37,1833.15
2025-09-16 23:15:00+00:00,956.36,956.61,954.78,954.81,1576.92
2025-09-16 23:20:00+00:00,954.81,955.11,954.32,954.59,2731.06
2025-09-16 23:25:00+00:00,954.6,955.85,954.59,955.67,2021.48
2025-09-16 23:30:00+00:00,955.67,956.59,955.46,955.5,2153.72
2025-09-16 23:35:00+00:00,955.5,955.87,955.15,955.41,1181.2
2025-09-16 23:40:00+00:00,955.41,955.49,954.5,955.41,1994.33
2025-09-16 23:45:00+00:00,955.4,955.96,954.97,955.85,1501.76
2025-09-16 23:50:00+00:00,955.84,956.13,955.58,955.83,988.0
2025-09-16 23:55:00+00:00,955.83,957.24,955.61,956.26,1680.64
2025-09-17 00:00:00+00:00,956.26,957.65,956.26,957.49,2049.4
2025-09-17 00:05:00+00:00,957.49,957.66,956.02,956.16,3031.52
2025-09-17 00:10:00+00:00,956.16,956.43,954.9,955.2,1782.31
2025-09-17 00:15:00+00:00,955.21,958.35,955.2,958.14,3010.71
2025-09-17 00:20:00+00:00,958.15,958.15,956.85,957.55,1533.7
2025-09-17 00:25:00+00:00,957.54,959.31,957.25,958.91,3176.61
2025-09-17 00:30:00+00:00,958.92,960.81,958.89,960.23,8309.26
2025-09-17 00:35:00+00:00,960.22,963.7,960.04,961.05,14939.37
2025-09-17 00:40:00+00:00,961.05,962.2,961.05,961.75,4909.34
2025-09-17 00:45:00+00:00,961.76,961.76,960.19,961.15,3992.56
2025-09-17 00:50:00+00:00,961.14,961.52,958.3,959.42,6858.24
2025-09-17 00:55:00+00:00,959.43,960.34,959.18,960.28,1844.89
2025-09-17 01:00:00+00:00,960.29,960.57,958.0,959.84,3602.21
2025-09-17 01:05:00+00:00,959.85,959.9,958.84,959.33,1558.54
2025-09-17 01:10:00+00:00,959.33,959.86,959.22,959.39,1338.05
2025-09-17 01:15:00+00:00,959.39,960.51,957.6,960.13,4704.32
2025-09-17 01:20:00+00:00,960.13,961.03,958.52,959.21,3078.82
2025-09-17 01:25:00+00:00,959.2,959.75,959.0,959.45,788.6
2025-09-17 01:30:00+00:00,959.44,959.44,957.92,958.09,3090.97
2025-09-17 01:35:00+00:00,958.09,958.63,957.5,958.62,2569.4
2025-09-17 01:40:00+00:00,958.62,958.76,957.02,957.41,1906.79
2025-09-17 01:45:00+00:00,957.41,958.85,957.23,957.73,1769.33
2025-09-17 01:50:00+00:00,957.74,958.99,957.05,957.53,1270.85
2025-09-17 01:55:00+00:00,957.53,957.59,957.2,957.49,685.28
2025-09-17 02:00:00+00:00,957.49,957.71,956.62,957.36,2027.36
2025-09-17 02:05:00+00:00,957.35,958.21,956.99,957.03,2914.68
2025-09-17 02:10:00+00:00,957.03,958.42,956.86,957.51,2900.46
2025-09-17 02:15:00+00:00,957.51,958.98,957.51,958.65,1904.35
2025-09-17 02:20:00+00:00,958.65,959.49,958.38,959.39,1904.85
2025-09-17 02:25:00+00:00,959.4,960.29,959.36,959.62,3336.77
2025-09-17 02:30:00+00:00,959.63,960.6,958.97,960.04,4974.36
2025-09-17 02:35:00+00:00,960.05,962.0,959.91,960.51,5228.46
2025-09-17 02:40:00+00:00,960.52,962.73,960.34,962.67,3735.97
2025-09-17 02:45:00+00:00,962.67,963.58,961.67,962.36,5188.09
2025-09-17 02:50:00+00:00,962.36,963.13,960.33,960.43,5610.63
2025-09-17 02:55:00+00:00,960.43,962.0,959.0,960.68,5613.41
2025-09-17 03:00:00+00:00,960.65,961.26,959.66,960.17,3147.98
2025-09-17 03:05:00+00:00,960.17,960.9,959.43,960.66,1709.33
2025-09-17 03:10:00+00:00,960.66,961.11,960.01,960.52,2164.11
2025-09-17 03:15:00+00:00,960.53,962.09,960.52,961.48,1911.67
2025-09-17 03:20:00+00:00,961.49,962.2,960.85,961.6,2158.43
2025-09-17 03:25:00+00:00,961.61,961.84,960.85,961.11,1959.14
2025-09-17 03:30:00+00:00,961.1,962.08,958.91,959.23,5211.11
2025-09-17 03:35:00+00:00,959.24,960.41,958.84,959.01,3103.96
2025-09-17 03:40:00+00:00,959.0,959.5,958.1,958.42,4736.88
2025-09-17 03:45:00+00:00,958.41,959.81,958.16,959.38,4033.61
2025-09-17 03:50:00+00:00,959.37,959.37,957.56,958.08,2984.1
2025-09-17 03:55:00+00:00,958.08,958.68,956.87,957.6,3448.1
2025-09-17 04:00:00+00:00,957.6,958.73,957.35,958.72,2016.22
2025-09-17 04:05:00+00:00,958.72,959.83,958.56,959.29,1451.09
2025-09-17 04:10:00+00:00,959.3,959.3,957.25,957.44,1749.27
2025-09-17 04:15:00+00:00,957.43,957.89,955.38,955.63,5418.04
2025-09-17 04:20:00+00:00,955.63,956.84,955.48,955.75,3060.4
2025-09-17 04:25:00+00:00,955.74,955.95,954.5,954.62,3035.05
2025-09-17 04:30:00+00:00,954.62,955.33,953.84,954.57,3420.07
2025-09-17 04:35:00+00:00,954.57,955.64,954.49,954.94,2852.09
2025-09-17 04:40:00+00:00,954.94,955.23,953.8,954.98,2561.17
2025-09-17 04:45:00+00:00,954.98,954.99,951.75,951.99,10380.35
2025-09-17 04:50:00+00:00,951.98,953.8,951.44,952.79,7135.26
2025-09-17 04:55:00+00:00,952.79,953.9,952.22,952.41,3105.12
2025-09-17 05:00:00+00:00,952.4,953.6,952.25,952.5,4150.63
2025-09-17 05:05:00+00:00,952.5,952.62,950.02,951.3,11454.48
2025-09-17 05:10:00+00:00,951.31,952.36,951.31,951.83,2204.92
2025-09-17 05:15:00+00:00,951.84,952.87,951.0,951.21,2294.5
2025-09-17 05:20:00+00:00,951.21,951.42,949.58,949.96,3766.89
2025-09-17 05:25:00+00:00,949.95,951.21,948.6,948.65,7055.15
2025-09-17 05:30:00+00:00,948.66,949.95,948.66,948.8,7722.52
2025-09-17 05:35:00+00:00,948.8,949.74,947.35,949.71,7117.03
2025-09-17 05:40:00+00:00,949.7,949.8,948.83,949.65,2308.85
2025-09-17 05:45:00+00:00,949.66,950.85,948.1,950.48,5388.62
2025-09-17 05:50:00+00:00,950.48,951.97,950.03,950.96,6521.02
2025-09-17 05:55:00+00:00,950.96,953.42,950.93,952.34,4664.57
2025-09-17 06:00:00+00:00,952.33,955.0,952.28,953.01,8456.91
2025-09-17 06:05:00+00:00,953.0,953.74,951.56,951.89,3170.65
2025-09-17 06:10:00+00:00,951.88,952.4,951.3,951.98,2641.75
2025-09-17 06:15:00+00:00,951.99,952.63,951.55,952.44,1250.72
2025-09-17 06:20:00+00:00,952.45,953.4,951.38,951.72,5754.5
2025-09-17 06:25:00+00:00,951.73,952.43,950.4,950.61,1823.79
2025-09-17 06:30:00+00:00,950.61,951.93,950.39,951.67,2383.15
2025-09-17 06:35:00+00:00,951.67,953.29,951.5,953.23,1937.03
2025-09-17 06:40:00+00:00,953.23,954.46,952.91,954.44,3833.76
2025-09-17 06:45:00+00:00,954.45,954.87,952.79,953.49,2564.14
2025-09-17 06:50:00+00:00,953.5,955.35,953.44,955.21,2010.45
2025-09-17 06:55:00+00:00,955.21,955.95,953.7,954.8,7602.38
2025-09-17 07:00:00+00:00,954.8,955.06,953.14,954.29,2183.3
2025-09-17 07:05:00+00:00,954.28,955.35,954.14,955.06,1521.67
2025-09-17 07:10:00+00:00,955.06,955.62,954.82,955.04,1673.35
2025-09-17 07:15:00+00:00,955.03,955.64,954.66,954.8,2653.65
2025-09-17 07:20:00+00:00,954.8,955.98,954.02,955.05,5271.95
2025-09-17 07:25:00+00:00,955.04,955.5,954.69,955.31,977.3
2025-09-17 07:30:00+00:00,955.31,956.49,955.3,956.3,1914.14
2025-09-17 07:35:00+00:00,956.31,959.15,955.01,957.53,11770.17
2025-09-17 07:40:00+00:00,957.53,957.72,956.35,956.56,1966.7
2025-09-17 07:45:00+00:00,956.56,957.37,956.14,956.59,1965.67
2025-09-17 07:50:00+00:00,956.6,957.0,955.77,956.19,1216.17
2025-09-17 07:55:00+00:00,956.19,956.29,955.1,955.4,1540.67
2025-09-17 08:00:00+00:00,955.39,955.63,953.75,953.78,2194.83
2025-09-17 08:05:00+00:00,953.79,954.08,952.8,953.07,2912.74
2025-09-17 08:10:00+00:00,953.06,953.13,952.04,952.21,2206.22
2025-09-17 08:15:00+00:00,952.21,953.21,952.02,952.63,2248.05
2025-09-17 08:20:00+00:00,952.64,953.88,952.63,953.24,1292.59
2025-09-17 08:25:00+00:00,953.25,953.89,952.3,952.68,1898.08
2025-09-17 08:30:00+00:00,952.68,953.08,951.83,952.29,2450.84
2025-09-17 08:35:00+00:00,952.3,955.38,951.8,954.57,5727.06
2025-09-17 08:40:00+00:00,954.51,954.52,952.74,953.36,2438.91
2025-09-17 08:45:00+00:00,953.35,954.92,952.6,954.41,2161.28
2025-09-17 08:50:00+00:00,954.41,957.77,954.06,957.26,8391.19
2025-09-17 08:55:00+00:00,957.25,957.81,956.27,957.28,4569.37
2025-09-17 09:00:00+00:00,957.29,957.29,956.01,956.16,2480.61
2025-09-17 09:05:00+00:00,956.15,956.5,955.01,955.32,1138.56
2025-09-17 09:10:00+00:00,955.32,955.5,954.82,955.1,2190.08
2025-09-17 09:15:00+00:00,955.09,955.09,954.32,954.93,1455.03
2025-09-17 09:20:00+00:00,954.94,955.89,954.44,955.88,1053.08
2025-09-17 09:25:00+00:00,955.88,956.21,955.72,955.95,729.0
2025-09-17 09:30:00+00:00,955.95,955.96,954.67,954.8,1909.04
2025-09-17 09:35:00+00:00,954.81,955.99,954.61,955.95,1421.67
2025-09-17 09:40:00+00:00,955.95,956.58,955.84,955.94,1758.88
2025-09-17 09:45:00+00:00,955.95,956.2,955.3,955.68,1380.33
2025-09-17 09:50:00+00:00,955.68,957.42,955.67,956.39,3777.41
2025-09-17 09:55:00+00:00,956.39,957.01,955.59,955.63,1603.3
2025-09-17 10:00:00+00:00,955.63,956.46,955.51,956.14,1512.7
2025-09-17 10:05:00+00:00,956.14,956.73,955.55,956.72,936.13
2025-09-17 10:10:00+00:00,956.72,957.44,956.31,956.52,1684.03
2025-09-17 10:15:00+00:00,956.51,956.65,955.87,956.28,877.94
2025-09-17 10:20:00+00:00,956.27,956.28,954.08,954.1,2517.21
2025-09-17 10:25:00+00:00,954.1,954.85,953.05,953.29,2654.28
2025-09-17 10:30:00+00:00,953.28,954.2,953.01,953.45,1644.62
