trial_id,score,pnl,wr,pf,mdd,sharpe,sortino
10300f1805,94.60198502237084,1063.2999999999993,0.569047619047619,1.1760480013510313,148.71279075221366,10.498211973844327,34.964519484354945
e67cd96cf4,-1000000000.0,-7.629999999999997,0.3,0.323581560283688,9.756156222122785,0.0,-19.1049731745428
54e80de4b0,-1000000000.0,1233.12,0.5702257941063911,1.1974283971430904,525.5438224657339,10.330761572624228,38.27475892699006
3eaf0059a2,-1000000000.0,-4.880000000000002,0.4583333333333333,0.5704225352112675,6.364565531927028,-12.947993827628515,-12.041814851420394
684d2c6d06,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
47a50673e9,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
0ec87412ad,-1000000000.0,-6.329999999999998,0.4583333333333333,0.7192904656319291,10.355391583875658,-5.209049435543431,-5.866097682992586
6052dea3df,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
15b4f2e748,95.03591164768262,1549.6999999999996,0.5740740740740741,2.328914195551134,181.68785844484955,0.0,0.0
d2b7f297dc,-1000000000.0,-2.47,0.0,0.0,2.468779743505422,0.0,-19.1049731745428
383cf00bab,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
5522e83392,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
ea5bbc9767,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
281ccd1c2b,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
3a216b06a7,-1000000000.0,-0.64,0.0,0.0,0.6352610156095579,0.0,-19.1049731745428
42e3a2d0af,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
0c2b41ea95,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
cd54f6592f,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
1ee7345a0e,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
efcab10e84,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
58bcca557e,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
9e0fe18899,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
21f2a2a860,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
89730f3fa8,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
4d660cde3c,103.13004027224484,3118.859999999997,0.5637055618026122,1.1105815595997186,521.239394098062,8.089079447069905,51.443016551475935
346a2d1847,115.60764658073953,3131.880000000001,0.5638974888200894,1.1105025943700793,213.9249704354334,8.08157351589543,51.65777068455669
917db94e1a,-1000000000.0,-23.5,0.0,0.0,23.502287542867165,0.0,-19.1049731745428
7eb2f88e9e,-1000000000.0,-1.19,0.0,0.0,1.1968023449650929,0.0,-19.1049731745428
c4b981c119,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
85c59ffdd3,143.32325,1.86,1.0,inf,0.0,0.0,0.0
56aa303422,108.45045651958428,2335.390000000003,0.5578947368421052,1.0885504270185749,94.26357276753627,6.209926337784231,46.99743781128706
353a1abed7,-1000000000.0,-7.319999999999999,0.4,0.2941176470588235,8.413090497736661,-58.86175866089173,-18.620849133865327
c800125f6e,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
678c8026ea,115.309293869642,4786.769999999997,0.5581081081081081,1.1491143360370626,717.8370259340559,7.981648337047319,79.1459275566779
8417e9f214,78.92429564601738,545.739999999998,0.5603236880823933,1.0327202851498445,216.4370862271479,1.9645340831723777,3.445519752037899
01fafbfda2,-1000000000.0,-5.019999999999998,0.4444444444444444,0.6697368421052633,10.979803346011806,0.0,-19.1049731745428
326ae23e26,-1000000000.0,599.9500000000007,0.5592309529496059,1.0341828868486336,795.2902604056833,1.912720678860471,3.5346579691752784
14a4704365,-1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2c1772acc2,92.86629164779376,1303.3400000000004,0.59,2.045784253939725,310.49970663104887,6.90694538950337,168.2574084550503
e83880af2b,-1000000000.0,-23.369999999999983,0.4285714285714285,0.6832474925454054,34.50045814396698,0.0,-19.1049731745428
